id,potLi,x,y,z
14669,0,0,3.6211324865405,0
14669,0,0,3.6788675134595,0
14470,0,0,4.8211324865405,0
10457,0,0,4.4788675134595,0
14408,0,0,4.7211324865405,0
14408,0,0,4.7788675134595,0
14075,0,0,2.8211324865405,0
14075,0,0,2.8788675134595,0
14028,0,0,4.2211324865405,0
14028,0,0,4.2788675134595,0
12958,0,0,3.5788675134595,0
12009,0,0,7.5788675134595,0
12009,0,0,7.5211324865405,0
12129,0,0,8.9211324865405,0
12958,0,0,3.5211324865405,0
12129,0,0,8.9788675134595,0
16155,0,0,3.3788675134595,0
16951,0,0,8.8788675134595,0
16684,0,0,1.3211324865405,0
16684,0,0,1.3788675134595,0
16664,0,0,6.6211324865405,0
16664,0,0,6.6788675134595,0
16640,0,0,2.6211324865405,0
16640,0,0,2.6788675134595,0
16544,0,0,2.2211324865405,0
16544,0,0,2.2788675134595,0
16198,0,0,1.8211324865405,0
16198,0,0,1.8788675134595,0
16155,0,0,3.3211324865405,0
5768,0,0,5.3211324865405,0
15956,0,0,2.5211324865405,0
15956,0,0,2.5788675134595,0
15902,0,0,9.4211324865405,0
15902,0,0,9.4788675134595,0
12922,0,0,3.1211324865405,0
12932,0,0,5.7788675134595,0
15494,0,0,1.9211324865405,0
15494,0,0,1.9788675134595,0
10312,0,0,8.2788675134595,0
10312,0,0,8.2211324865405,0
10389,0,0,9.5788675134595,0
10389,0,0,9.5211324865405,0
21052,0,0,2.4788675134595,0
21504,0,0,1.5211324865405,0
21504,0,0,1.5788675134595,0
21421,0,0,3.0211324865405,0
21421,0,0,3.0788675134595,0
1640,0,0,5.8788675134595,0
1640,0,0,5.8211324865405,0
1678,0,0,7.3788675134595,0
1678,0,0,7.3211324865405,0
1907,0,0,4.6788675134595,0
1907,0,0,4.6211324865405,0
2079,0,0,7.9788675134595,0
2079,0,0,7.9211324865405,0
21052,0,0,2.4211324865405,0
1368,0,0,4.1211324865405,0
2233,0,0,8.5788675134595,0
2233,0,0,8.5211324865405,0
18631,0,0,4.5211324865405,0
2955,0,0,5.1211324865405,0
20936,0,0,9.9211324865405,0
20936,0,0,9.9788675134595,0
2999,0,0,3.9788675134595,0
2999,0,0,3.9211324865405,0
12698,0,0,8.0211324865405,0
12698,0,0,8.0788675134595,0
3288,0,0,5.5788675134595,0
3288,0,0,5.5211324865405,0
559,0,0,1.7788675134595,0
12741,0,0,4.0788675134595,0
77,0,0,0.97886751345948,0
77,0,0,0.92113248654052,0
129,0,0,0.77886751345948,0
129,0,0,0.72113248654052,0
21939,0,0,9.0211324865405,0
21939,0,0,9.0788675134595,0
21924,0,0,6.3211324865405,0
21924,0,0,6.3788675134595,0
21912,0,0,7.4211324865405,0
21912,0,0,7.4788675134595,0
21884,0,0,1.1211324865405,0
21884,0,0,1.1788675134595,0
2955,0,0,5.1788675134595,0
559,0,0,1.7211324865405,0
21864,0,0,5.0211324865405,0
21864,0,0,5.0788675134595,0
21757,0,0,8.1211324865405,0
21757,0,0,8.1788675134595,0
1010,0,0,7.7788675134595,0
1010,0,0,7.7211324865405,0
21667,0,0,8.3211324865405,0
21667,0,0,8.3788675134595,0
1256,0,0,3.4788675134595,0
1256,0,0,3.4211324865405,0
1368,0,0,4.1788675134595,0
4266,0,0,3.7211324865405,0
20509,0,0,0.62113248654052,0
20509,0,0,0.67886751345948,0
20459,0,0,8.7211324865405,0
