LAMMPS data file - SE Layer in Cylinder (SI Units)
# Cylinder radius: 2.000000e-05 m

 10232  atoms

   1 atom types

 -2.000000000000000e-05   2.000000000000000e-05 xlo xhi
 -2.000000000000000e-05   2.000000000000000e-05 ylo yhi
  0.000000000000000e+00   2.500000000000000e-05 zlo zhi

Atoms # sphere

   84    1 1.2083333333e-06 5.0000000000e+03   4.662283476661711e-06  -1.152173697199093e-05   1.473281105606822e-06
   85    1 1.2083333333e-06 5.0000000000e+03  -5.806362102607067e-06   1.515446085456192e-05   1.922268356634496e-05
   86    1 1.2083333333e-06 5.0000000000e+03  -3.920480662950361e-06   1.623190652379847e-05   7.300550438657226e-06
   87    1 1.2083333333e-06 5.0000000000e+03  -1.485382909270231e-06  -1.137970455657191e-05   1.076834789212489e-06
   88    1 1.2083333333e-06 5.0000000000e+03   5.247784353432150e-06   1.046613596966786e-05   9.310417980571455e-06
   89    1 1.2083333333e-06 5.0000000000e+03  -8.449397107380714e-06   4.128448100549142e-06   1.164416056356060e-05
   90    1 1.2083333333e-06 5.0000000000e+03   1.342421661206295e-05  -1.349825935465322e-05   8.234551098906319e-06
   91    1 1.2083333333e-06 5.0000000000e+03   1.416686519398971e-05  -1.130991293234898e-05   1.473434013081966e-05
   92    1 1.2083333333e-06 5.0000000000e+03   2.656261535925465e-06   4.655436826158693e-06   2.169919327208585e-06
   93    1 1.2083333333e-06 5.0000000000e+03  -2.636979029647544e-06  -9.780106205936293e-06   6.467181446184781e-06
   94    1 1.2083333333e-06 5.0000000000e+03  -1.929285038780299e-06  -7.198823801090670e-06   5.328787543691089e-06
   95    1 1.2083333333e-06 5.0000000000e+03   1.097774608521160e-06  -1.654759571798574e-05   1.594243812450675e-05
   96    1 1.2083333333e-06 5.0000000000e+03   9.494453189236205e-06  -1.119369465836542e-05   5.784157522950217e-06
   97    1 1.2083333333e-06 5.0000000000e+03   3.033725779538263e-06  -1.780851838154307e-05   1.182717671226723e-05
   98    1 1.2083333333e-06 5.0000000000e+03   6.488764581765163e-06  -1.666906876704264e-05   6.537945232677876e-06
   99    1 1.2083333333e-06 5.0000000000e+03   1.432537338872766e-05  -9.147769925461987e-06   1.690338334659825e-05
  100    1 1.2083333333e-06 5.0000000000e+03  -1.175968670969385e-05   1.063255890659090e-05   4.876364306173060e-06
  101    1 1.2083333333e-06 5.0000000000e+03  -1.293618140440059e-05   1.947038402072567e-06   8.968893546355323e-06
  102    1 1.2083333333e-06 5.0000000000e+03  -1.509834941444134e-05   9.282851856210078e-06   1.130551660574140e-05
  103    1 1.2083333333e-06 5.0000000000e+03  -3.236961103472929e-06   1.725134216495226e-05   1.405803569792001e-05
